City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Lawrenceburg,US,71.6,clear sky,38.0373,-84.8966,Best Western Lawrenceburg Inn
6,Katghora,IN,71.44,clear sky,22.5,82.55,Deppak bhojanalay new bus stand
9,Bethel,US,64.4,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
12,Kutum,SD,68.29,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
13,Camana,PE,73.74,scattered clouds,-16.6228,-72.7111,Hostal Morales
16,Bredasdorp,ZA,60.8,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
17,Portland,US,60.01,scattered clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
23,Lompoc,US,73.0,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
29,Kalmunai,LK,78.03,broken clouds,7.4167,81.8167,VS Villa
30,Port Elizabeth,ZA,62.6,few clouds,-33.918,25.5701,39 On Nile Guest House
31,Rikitea,PF,79.45,clear sky,-23.1203,-134.9692,Pension Maro'i
34,Kapaa,US,77.0,scattered clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
35,Hermanus,ZA,62.01,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
37,Ponta Do Sol,PT,64.4,broken clouds,32.6667,-17.1,Hotel do Campo
39,Saint George,US,66.99,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
40,Saint-Philippe,RE,77.0,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
41,Mahajanga,MG,78.8,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
45,Chuy,UY,72.64,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
48,Half Moon Bay,US,68.0,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
50,Valparaiso,CL,77.0,clear sky,-33.0393,-71.6273,Hotel Ultramar
52,Mahebourg,MU,77.0,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
54,Elat,IL,60.8,clear sky,29.5581,34.9482,Club Hotel Eilat
56,Mackay,AU,68.0,clear sky,-21.15,149.2,International Lodge Motel
