City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Ushuaia,-54.8,-68.3,59.0,63,75,19.57,AR,moderate rain
1,Eisenerz,47.5333,14.8833,44.6,65,75,6.91,AT,broken clouds
2,Lawrenceburg,38.0373,-84.8966,71.6,56,1,11.5,US,clear sky
3,Cabedelo,-6.9811,-34.8339,82.4,78,20,9.22,BR,few clouds
4,Upernavik,72.7868,-56.1549,-25.28,88,18,4.94,GL,few clouds
5,Saldanha,-33.0117,17.9442,59.0,72,0,6.91,ZA,clear sky
6,Katghora,22.5,82.55,71.44,18,0,6.24,IN,clear sky
7,Krasnoselkup,65.7,82.4667,3.7,97,94,6.76,RU,overcast clouds
8,Fos-Sur-Mer,43.4377,4.9446,53.6,53,0,9.22,FR,clear sky
9,Bethel,41.3712,-73.414,64.4,36,20,8.05,US,few clouds
10,Tessalit,20.1986,1.0114,73.15,8,0,14.14,ML,clear sky
11,Port Lincoln,-34.7333,135.8667,57.54,79,36,2.84,AU,scattered clouds
12,Kutum,14.2,24.6667,68.29,17,4,17.6,SD,clear sky
13,Camana,-16.6228,-72.7111,73.74,71,49,5.84,PE,scattered clouds
14,Mount Gambier,-37.8333,140.7667,50.0,93,98,5.75,AU,overcast clouds
15,Boguchany,58.3814,97.4531,25.09,97,100,3.15,RU,light snow
16,Bredasdorp,-34.5322,20.0403,60.8,67,36,4.61,ZA,scattered clouds
17,Portland,45.5234,-122.6762,60.01,54,40,1.61,US,scattered clouds
18,Ust-Kan,50.9276,84.761,24.89,91,100,4.85,RU,light snow
19,Kargasok,59.0556,80.8572,31.14,99,100,3.78,RU,overcast clouds
20,Barrow,71.2906,-156.7887,-14.8,91,1,2.35,US,clear sky
21,Yellowknife,62.456,-114.3525,21.99,63,75,11.5,CA,broken clouds
22,Temir,49.1414,57.13,15.3,95,56,7.09,KZ,broken clouds
23,Lompoc,34.6391,-120.4579,73.0,40,1,13.8,US,clear sky
24,New Norfolk,-42.7826,147.0587,53.01,84,100,3.33,AU,overcast clouds
25,Hithadhoo,-0.6,73.0833,83.84,72,100,14.61,MV,overcast clouds
26,Songjianghe,42.1859,127.479,39.61,87,100,1.45,CN,overcast clouds
27,Cockburn Town,21.4612,-71.1419,80.6,65,40,13.8,TC,scattered clouds
28,Punta Arenas,-53.15,-70.9167,50.0,81,90,28.77,CL,light rain
29,Kalmunai,7.4167,81.8167,78.03,81,79,1.88,LK,broken clouds
30,Port Elizabeth,-33.918,25.5701,62.6,67,20,10.36,ZA,few clouds
31,Rikitea,-23.1203,-134.9692,79.45,71,2,18.79,PF,clear sky
32,Hovd,48.0056,91.6419,26.64,29,8,1.57,MN,clear sky
33,Thompson,55.7435,-97.8558,21.2,53,75,10.36,CA,broken clouds
34,Kapaa,22.0752,-159.319,77.0,78,40,12.66,US,scattered clouds
