City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Leningradskiy,RU,2021-03-24 23:21:56,69.3833,178.4167,-3.96,93,100,13.2
1,Hilo,US,2021-03-24 23:21:56,19.7297,-155.09,84.2,51,40,16.11
2,Ushuaia,AR,2021-03-24 23:18:07,-54.8,-68.3,42.8,75,20,36.82
3,East London,ZA,2021-03-24 23:21:56,-33.0153,27.9116,68.47,86,100,11.88
4,Iqaluit,CA,2021-03-24 23:21:57,63.7506,-68.5145,-18.0,69,75,7.58
5,Tilichiki,RU,2021-03-24 23:21:57,60.4667,166.1,12.58,86,100,9.93
6,Suntar,RU,2021-03-24 23:21:57,62.1444,117.6319,-10.88,100,100,3.11
7,Hermanus,ZA,2021-03-24 23:21:58,-34.4187,19.2345,66.99,84,4,5.01
8,Port Elizabeth,ZA,2021-03-24 23:21:58,-33.918,25.5701,68.0,83,0,8.05
9,Chokurdakh,RU,2021-03-24 23:21:58,70.6333,147.9167,-16.67,97,99,5.88
10,Qaqortoq,GL,2021-03-24 23:21:58,60.7167,-46.0333,19.4,53,90,14.97
11,Atuona,PF,2021-03-24 23:21:59,-9.8,-139.0333,80.33,76,98,18.57
12,Rawson,AR,2021-03-24 23:21:59,-43.3002,-65.1023,57.51,54,99,11.18
13,Hobart,AU,2021-03-24 23:19:15,-42.8794,147.3294,64.0,88,75,4.61
14,Chumphon,TH,2021-03-24 23:22:00,10.3333,98.8333,75.2,88,20,2.3
15,Albany,US,2021-03-24 23:22:00,42.6001,-73.9662,51.01,84,100,3.0
16,Otjimbingwe,NA,2021-03-24 23:22:00,-22.35,16.1333,74.39,58,23,2.89
17,Pisco,PE,2021-03-24 23:22:00,-13.7,-76.2167,71.6,73,20,21.85
18,Bluff,NZ,2021-03-24 23:22:01,-46.6,168.3333,60.01,77,10,5.01
19,Bredasdorp,ZA,2021-03-24 23:22:01,-34.5322,20.0403,66.2,88,99,6.91
20,Northam,GB,2021-03-24 23:22:01,51.0333,-4.2167,43.0,93,87,5.01
21,Rikitea,PF,2021-03-24 23:22:02,-23.1203,-134.9692,79.54,67,1,12.82
22,Leshukonskoye,RU,2021-03-24 23:22:02,64.8989,45.7622,34.3,97,100,11.95
23,Bengkulu,ID,2021-03-24 23:21:01,-3.8004,102.2655,76.14,82,100,3.49
24,Morondava,MG,2021-03-24 23:22:02,-20.2833,44.2833,76.78,78,6,6.67
25,Busselton,AU,2021-03-24 23:22:03,-33.65,115.3333,45.0,97,0,1.01
26,Ainazi,LV,2021-03-24 23:22:03,57.8636,24.3578,35.22,91,100,13.67
27,Bambous Virieux,MU,2021-03-24 23:22:03,-20.3428,57.7575,77.0,94,20,5.75
28,Barrow,US,2021-03-24 23:22:03,71.2906,-156.7887,-5.8,77,1,5.75
29,Sulya,IN,2021-03-24 23:22:04,12.5667,75.3833,78.8,83,40,3.44
30,Kapaa,US,2021-03-24 23:18:16,22.0752,-159.319,79.0,83,75,18.41
31,Latung,PH,2021-03-24 23:22:04,5.5,120.8833,80.56,81,98,10.92
32,Punta Arenas,CL,2021-03-24 23:20:41,-53.15,-70.9167,46.4,76,75,21.85
33,Isangel,VU,2021-03-24 23:22:05,-19.55,169.2667,84.2,61,75,5.75
34,Port Alfred,ZA,2021-03-24 23:17:12,-33.5906,26.891,69.22,83,100,16.51
35,Ati,TD,2021-03-24 23:22:05,13.2154,18.3353,84.42,17,24,10.6
36,Hovd,MN,2021-03-24 23:22:05,48.0056,91.6419,28.56,31,0,7.56
37,Alofi,NU,2021-03-24 23:20:11,-19.0595,-169.9187,86.0,74,75,9.22
38,Okato,NZ,2021-03-24 23:22:06,-39.2,173.8833,66.99,54,0,3.0
